date;gender;age;has_worked;hours_studied;wakeup_time;bed_time;n_coffein;screen_time;has_meat;exercise_hours;water;social_hours;newspaper_time;fatigue_score;democracy_score;happiness_score
20021.03.02.;male;23;yes;3;0,333333333;0,010416667;0;;yes;0,75;;;;7;;7
20021.03.03.;male;23;yes;4,5;0,333333333;0;0;;yes;0,75;;;;6;;6
20021.03.04.;male;23;yes;1,5;0,416666667;0,989583333;0;;yes;0;;;;6;;6
20021.03.05.;male;23;yes;5,5;0,333333333;0,003472222;0;;no;1;;;;8;;6
20021.03.06.;male;23;no;2;0,375;0,996527778;0;;yes;0,75;;;;8;;8
20021.03.07.;male;23;no;3;0,354166667;0,003472222;0;;yes;0,75;;;;9;;9
20021.03.08.;male;23;yes;3;0,333333333;0,993055556;0;;yes;0,65;;;;6;;6
20021.03.09.;male;23;yes;3;0,333333333;0;0;;yes;0;;;;8;;8
20021.03.10.;male;23;yes;5;0,333333333;0,027777778;0;;yes;1;;;;6;;6
20021.03.11.;male;23;yes;1,5;0,416666667;0,989583333;0;;yes;0,7;;;;7;;6
20021.03.12.;male;23;yes;6;0,333333333;0,010416667;0;;no;0,75;;;;7;;6
20021.03.13.;male;23;no;1,5;0,375;0,083333333;0;;yes;0;;;;8;;9
20021.03.14.;male;23;no;1;0,333333333;;0;;yes;0,75;;;;9;;6
