,date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score,user_id
48,7,male,21.0,0,9.0,10:40:00,2:10:00,4.0,10.0,1,"0,2","3,00","0,00","0,20","1,50","2,00","4,00",3
49,8,male,21.0,0,7.0,10:00:00,2:00:00,3.0,12.0,1,"0,2","3,50","0,20","0,10","4,00","2,00","2,00",3
50,9,male,21.0,0,4.0,8:00:00,2:20:00,4.0,11.0,1,"0,15","4,50","5,00","0,00","2,00","1,00","7,00",3
51,10,male,21.0,1,3.0,10:00:00,2:00:00,3.0,12.0,1,"0,25","3,50","1,50","0,30","3,00","3,00","2,00",3
52,11,male,21.0,0,2.0,11:30:00,2:30:00,3.0,9.0,1,"0,2","4,00","0,00","0,40","3,00","2,00","4,00",3
53,12,male,21.0,0,10.0,8:00:00,2:00:00,3.0,14.0,0,"0,15","3,50","1,00","0,50","2,00","1,00","5,00",3
54,13,male,21.0,0,1.0,9:45:00,3:15:00,2.0,6.0,1,0,"4,50","14,00","0,00","6,00","2,00","9,00",3
55,14,male,21.0,0,5.0,11:45:00,2:30:00,2.0,11.0,1,"0,2","4,00","0,00","0,10","5,00","3,00","4,00",3
56,20021.03.02.,male,23.0,yes,3,"0,333333333","0,010416667",0.0,,yes,"0,75",,,,7,,7,4
57,20021.03.03.,male,23.0,yes,"4,5","0,333333333",0,0.0,,yes,"0,75",,,,6,,6,4
58,20021.03.04.,male,23.0,yes,"1,5","0,416666667","0,989583333",0.0,,yes,0,,,,6,,6,4
59,20021.03.05.,male,23.0,yes,"5,5","0,333333333","0,003472222",0.0,,no,1,,,,8,,6,4
60,20021.03.06.,male,23.0,no,2,"0,375","0,996527778",0.0,,yes,"0,75",,,,8,,8,4
61,20021.03.07.,male,23.0,no,3,"0,354166667","0,003472222",0.0,,yes,"0,75",,,,9,,9,4
62,20021.03.08.,male,23.0,yes,3,"0,333333333","0,993055556",0.0,,yes,"0,65",,,,6,,6,4
63,20021.03.09.,male,23.0,yes,3,"0,333333333",0,0.0,,yes,0,,,,8,,8,4
64,20021.03.10.,male,23.0,yes,5,"0,333333333","0,027777778",0.0,,yes,1,,,,6,,6,4
65,20021.03.11.,male,23.0,yes,"1,5","0,416666667","0,989583333",0.0,,yes,"0,7",,,,7,,6,4
66,20021.03.12.,male,23.0,yes,6,"0,333333333","0,010416667",0.0,,no,"0,75",,,,7,,6,4
